Product ID,Name,UOM,UOM VALUE,Alternate Code,Principal ID,Principal Name
PI0101201694,ALLERTA DERMA CRM 5GM,PCS,1,155608,13060400005,Unilab
PI0101201695,ALLERTA DERMA OINT 5GM,PCS,1,155607,13060400005,Unilab
PI000000000180,ALLERTA QR 10MG TAB,PCS,0,,13060400005,Unilab
PI0101202051,ALLERTEEN 10MG TAB,PCS,100,,13060400005,Unilab
PI0000000051083,ALLERZET 5MG TAB,TAB,100,154720,13060400005,Unilab
PI000000000181,ALLERZET SYR 30ML,PCS,1,154718,13060400005,Unilab
PI000000000182,ALLERZET SYR 60ML,PCS,1,154719,13060400005,Unilab
PI000000000191,ALNIX 10MG TAB,TAB,100,140885,13060400005,Unilab
PI000000000192,ALNIX 2.5MG DRP 10ML,PCS,1,151984,13060400005,Unilab
PI000000000193,ALNIX 5MG SYR 30ML,PCS,1,151983,13060400005,Unilab
PI000000000194,ALNIX 5MG SYR 60ML,PCS,0,,13060400005,Unilab
PI000000000195,ALNIX PLUS SYR 60ML,PCS,1,153069,13060400005,Unilab
PI000000000196,ALNIX PLUS TAB,TAB,100,152083,13060400005,Unilab
PI000000000249,AMELEX 75MG CAP,PCS,0,,13060400005,Unilab
PI000000005679,AMENA 2.5MG TAB,PCS,1,,13060400005,Unilab
PI000000005680,AMIABEL 200MG TAB,TAB,30,152439,13060400005,Unilab
PI000000005681,AMIABEL 400MG TAB,TAB,30,152442,13060400005,Unilab
PI000000000250,AMIKACIDE 100MG/2ML AMP,PCS,5,140682,13060400005,Unilab
PI000000000251,AMIKACIDE 250MG AMP 2ML,PCS,5,140683,13060400005,Unilab
PI000000000252,AMIKACIDE 500MG AMP 2ML,PCS,5,140684,13060400005,Unilab
PI0103201510,AMLIFE 100MG/ 5MG TAB,TAB,30,156131,13060400005,Unilab
PI0103201510-S15,AMLIFE 100MG/ 5MG TAB  15'S,PCK,1,,13060400005,Unilab
PI0103201510-S30,AMLIFE 100MG/ 5MG TAB  30'S,PCK,1,,13060400005,Unilab
PI0101202195,AMLIFE 100MG/10MG TAB,TAB,30,156130,13060400005,Unilab
PI0101202195-S15,AMLIFE 100MG/10MG TAB  15'S,PCK,1,,13060400005,Unilab
PI0101202195-S30,AMLIFE 100MG/10MG TAB  30'S,PCK,1,,13060400005,Unilab
PI0101202194,AMLIFE 50MG/5MG TAB,TAB,30,156132,13060400005,Unilab
PI0101202194-S15,AMLIFE 50MG/5MG TAB  15'S,PCK,1,,13060400005,Unilab
PI0101202194-S30,AMLIFE 50MG/5MG TAB  30'S,PCK,1,,13060400005,Unilab
PI2017000076,AMLIFE PLUS 100/10/12.5MG TAB,PCS,50,157110,13060400005,Unilab
PI2017000075,AMLIFE PLUS 100/5/12.5MG TAB,PCS,50,157111,13060400005,Unilab
PI2017000077,AMLIFE PLUS 50/5/12.5MG TAB,PCS,50,157112,13060400005,Unilab
PI20170000436,AMLODIPINE (PHAREX) 10MG,TAB,100,,13060400005,Unilab
PI20170000437,AMLODIPINE (PHAREX) 5MG,TAB,100,,13060400005,Unilab
PI000000000282,AMOCLAV  156/5ML SUSP 60ML,PCS,0,157114,13060400005,Unilab
PI000000000283,AMOCLAV  312/5ML SUSP 60ML,PCS,0,157113,13060400005,Unilab
PI000000000284,AMOCLAV  375MG TAB,PCS,30,140114,13060400005,Unilab
PI000000000285,AMOCLAV  600MG VL,PCS,0,,13060400005,Unilab
PI000000000286,AMOCLAV  625MG TAB,TAB,15,140191,13060400005,Unilab
PI000000000288,AMOCLAV 1.2 VL,PCS,0,,13060400005,Unilab
PI000000000287,AMOCLAV 1GM TAB,PCS,10,,13060400005,Unilab
PI000000000289,AMOCLAV 228.5MG SUSP 70ML,PCS,1,,13060400005,Unilab
PI000000000290,AMOCLAV 457MG SUSP 35ML,PCS,0,,13060400005,Unilab
PI000000000291,AMOCLAV 457MG SUSP 70ML,PCS,1,152090,13060400005,Unilab
PI000000000325,AMPICIN  250MG INJ VL,PCS,1,157449,13060400005,Unilab
PI000000000326,AMPICIN  500MG INJ VL,PCS,1,157436,13060400005,Unilab
PI000000000327,AMPICIN B 250MG CAP,PCS,0,,13060400005,Unilab
PI000000000328,AMPICIN B 500MG CAP,CAP,100,151893,13060400005,Unilab
PI01122013009,AMPIMAX  750MG TAB,TAB,10,154776,13060400005,Unilab
PI0000000051084,AMPIMAX  750MG VL,PCS,10,,13060400005,Unilab
PI0000000051085,AMPIMAX 1.5MG VL,PCS,1,,13060400005,Unilab
PI000000000332,AMVASC BE  5MG TAB,TAB,50,141653,13060400005,Unilab
PI000000000332-S15,AMVASC BE  5MG TAB  15'S,PCK,1,,13060400005,Unilab
PI000000000332-S30,AMVASC BE  5MG TAB  30'S,TAB,1,,13060400005,Unilab
PI000000000333,AMVASC BE 10MG TAB,TAB,50,141652,13060400005,Unilab
PI000000000333-S15,AMVASC BE 10MG TAB  15'S,PCK,1,,13060400005,Unilab
PI000000000333-S30,AMVASC BE 10MG TAB  30'S,PCK,1,,13060400005,Unilab
PI000000000335,AMVASC PLUS  5MG/12.5MG TAB,TAB,30,154027,13060400005,Unilab
PI000000000335-S15,AMVASC PLUS  5MG/12.5MG TAB 15'S,PCK,1,,13060400005,Unilab
PI000000000335-S30,AMVASC PLUS  5MG/12.5MG TAB 30'S,PCK,1,,13060400005,Unilab
PI000000000334,AMVASC PLUS 10MG/12.5MG TAB,TAB,30,154029,13060400005,Unilab
PI000000000334-S15,AMVASC PLUS 10MG/12.5MG TAB 15'S,PCK,1,,13060400005,Unilab
PI000000000334-S30,AMVASC PLUS 10MG/12.5MG TAB 30'S,PCK,1,,13060400005,Unilab
PI0108201512,ANAZOLE 1MG TAB,TAB,28,154625,13060400005,Unilab
PI000000000342,ANDROS  25MG TAB,TAB,5,106522,13060400005,Unilab
PI000000000343,ANDROS  50MG TAB,TAB,5,141062,13060400005,Unilab
PI000000000344,ANDROS 100MG TAB,TAB,5,106462,13060400005,Unilab
PI0110201506,ANSERM 60MG TAB,TAB,30,155971,13060400005,Unilab
PI000000000384,APPEBON 500 SYR  60ML,PCS,0,,13060400005,Unilab
PI000000000385,APPEBON 500 SYR 120ML,PCS,0,,13060400005,Unilab
PI000000000386,APPEBON 500 TAB,PCS,0,,13060400005,Unilab
PI000000000387,APPEBON KID SYR  60ML,PCS,0,,13060400005,Unilab
PI000000000388,APPEBON KID SYR 120ML,PCS,0,,13060400005,Unilab
PI000000000389,APPEBON KID SYR 250ML,PCS,0,,13060400005,Unilab
PI000000000390,APPEBON W/FE CAP,CAP,100,140146,13060400005,Unilab
PI000000000391,APPEBON W/FE SYR  60ML,PCS,1,151911,13060400005,Unilab
PI000000000392,APPEBON W/FE SYR 120ML,PCS,0,151912,13060400005,Unilab
PI000000000434,ASCORBIC 500MG TAB UHP,PCS,0,,13060400005,Unilab
PI000000000443,ASIAN SECRET BETEL SOAP 100GM,PCS,0,,13060400005,Unilab
PI000000000444,ASIAN SECRET CRM/SCRUB 135GM,PCS,0,,13060400005,Unilab
PI000000000445,ASIAN SECRET CRM/SCRUB 250GM,PCS,0,,13060400005,Unilab
PI0101201635,ASIAN SECRET G TEA SACHET,PCS,12,,13060400005,Unilab
PI000000000446,ASIAN SECRET LRICE CRM 250GM,PCS,0,,13060400005,Unilab
PI000000000447,ASIAN SECRET OLIVE SOAP 100GM,PCS,0,,13060400005,Unilab
PI000000000448,ASIAN SECRET SWEED CRM 250GM,PCS,0,,13060400005,Unilab
PI0101201617,ASIAN SECRET WHTHENING  50GM,PCS,0,,13060400005,Unilab
PI0101201616,ASIAN SECRET WHTHENING 100GM,PCS,0,,13060400005,Unilab
PI0101202192,ASIAN SECRT ANTI -ACNE S 45GM,PCS,0,,13060400005,Unilab
PI000000000454,ASMALIN 100MCG NON CFC,PCS,0,155642,13060400005,Unilab
PI000000000455,ASMALIN 2.5 PULMO NEB,PCS,30,156961,13060400005,Unilab
PI000000000456,ASMALIN 2MG SYR 60ML,PCS,1,151973,13060400005,Unilab
PI000000000457,ASMALIN 2MG TAB,PCS,0,,13060400005,Unilab
PI000000000459,ASMALIN BRON TAB,PCS,0,,13060400005,Unilab
PI000000000458,ASMALIN BRONCHO SYR 60ML,PCS,1,151914,13060400005,Unilab
PI000000000460,ASMAVENT PULMONEB 250MCG,PCS,30,,13060400005,Unilab
PI000000000463,ASPILETS 80MG TAB,TAB,500,140222,13060400005,Unilab
PI000000000464,ASPILETS EC 80MG TAB,TAB,150,140346,13060400005,Unilab
PI000000000470,ATEPROS 5MG TAB,TAB,30,117244,13060400005,Unilab
PI000000000471,ATHENA CHO PDR 180GM,PCS,0,,13060400005,Unilab
PI000000000472,ATHENA MILK PDR 180GM,PCS,0,,13060400005,Unilab
PI000000000473,ATHENA MILK PDR 400GM,PCS,0,,13060400005,Unilab
PI000000000479,ATORVASTATIN 10MG TAB PHAREX,PCS,30,,13060400005,Unilab
PI000000000480,ATORVASTATIN 20MG TAB PHAREX,PCS,30,,13060400005,Unilab
PI000000000515,AVAMAX 10MG TAB,TAB,100,155989,13060400005,Unilab
PI000000000515-S15,AVAMAX 10MG TAB  15'S,PCK,1,,13060400005,Unilab
PI000000000515-S30,AVAMAX 10MG TAB  30'S,PCK,1,,13060400005,Unilab
PI000000000516,AVAMAX 20MG TAB,TAB,100,155988,13060400005,Unilab
PI000000000516-S15,AVAMAX 20MG TAB  15'S,PCK,1,,13060400005,Unilab
PI000000000516-S30,AVAMAX 20MG TAB  30'S,PCK,1,,13060400005,Unilab
PI000000000517,AVAMAX 40MG TAB,TAB,100,155987,13060400005,Unilab
PI000000000517-S15,AVAMAX 40MG TAB  15'S,PCK,1,,13060400005,Unilab
PI000000000517-S30,AVAMAX 40MG TAB  30'S,PCK,1,,13060400005,Unilab
PI0101202142,AVAMAX 80MG TAB,TAB,30,155986,13060400005,Unilab
PI0101202142-S15,AVAMAX 80MG TAB  15'S,PCK,1,,13060400005,Unilab
PI0101202142-S30,AVAMAX 80MG TAB  30'S,PCK,1,,13060400005,Unilab
PI000000000525,AXERA IV  500GM VL,PCS,1,155740,13060400005,Unilab
PI000000000523,AXERA IV 1G VL,PCS,1,155734,13060400005,Unilab
PI000000000524,AXERA IV 2GM VL,PCS,1,155733,13060400005,Unilab
PI0112201606,AZITHROMYCIN 500MG TAB PHAREX,TAB,3,600150,13060400005,Unilab
PI000000000551,BACTIFREE OINT  5GM,PCS,0,152484,13060400005,Unilab
PI000000000552,BACTIFREE OINT 10GM,PCS,1,,13060400005,Unilab
PI000000005667,BICAPROS 50MG TAB,TAB,28,,13060400005,Unilab
PI000000000653,BIFIX TAB,TAB,100,141649,13060400005,Unilab
PI20170000374,BIOFLU NON-DROWSY CAP,CAP,100,,13060400005,Unilab
PI000000000663,BIOFLU REF TAB,TAB,100,152676,13060400005,Unilab
PI0108201549,BIOFLU REF TAB 5'S,PCK,0,152680,13060400005,Unilab
PI0108201345,BIOFLU REF TAB 5+1 PROMO,PCK,50,155845,13060400005,Unilab
PI202000000081,BIOFLU REF TAB 7+1 PROMO,PCK,25,169304,13060400005,Unilab
PI0107201303,BIOFLU SUSP 60ML,PCS,0,,13060400005,Unilab
PI000000000669,BIOGESIC 100MG DROP 15ML,PCS,1,155066,13060400005,Unilab
PI000000000665,BIOGESIC 120MG ORAN 60ML,PCS,1,,13060400005,Unilab
PI000000000664,BIOGESIC 120MG STRAW 60ML,PCS,0,,13060400005,Unilab
PI000000000667,BIOGESIC 250MG ORAN 60ML,PCS,1,151917,13060400005,Unilab
PI000000000666,BIOGESIC 250MG STRAW 60ML,PCS,0,151916,13060400005,Unilab
PI0109201615,BIOGESIC 325MG CAPLET,CAP,100,156163,13060400005,Unilab
PI0103201501,BIOGESIC 500MG CAPLET,CAP,500,156168,13060400005,Unilab
PI202100000021,BIOGESIC 500MG CAPLET 10'S,PCK,10,156184,13060400005,Unilab
PI000000000668,BIOGESIC 500MG CAPLET 6+2,PCK,0,,13060400005,Unilab
PI20170000350,BIOGESIC 500MG CAPLET 8+2,PCK,25,158198,13060400005,Unilab
PI0101202003,BIOGESIC CAPLET 7+3 PROMO,PCK,20,,13060400005,Unilab
PI2020000000117,BIOGESIC ON THE GO PACK 20'S,PCK,8,168923,13060400005,Unilab
PI2021000000352,BIOME IMMUNE 400MG CAP,CAP,60,600253,13060400005,Unilab
PI2021000000334,BIOME LIPIDEC PROBIOTIC CAP,CAP,90,600257,13060400005,Unilab
PI000000005682,BPEPTIDE 2.5MG CAP,PCS,100,,13060400005,Unilab
PI000000000695,BPNORM 10MG TAB,TAB,30,156052,13060400005,Unilab
PI000000000696,BPNORM 20MG TAB,TAB,30,156228,13060400005,Unilab
PI000000000741,BURN OINT 15GM UHP,PCS,0,,13060400005,Unilab
PI000000000742,BURN OINT 30GM UHP,PCS,0,,13060400005,Unilab
PI000000000766,CALACTATE 325MG TAB 100'S,PCK,1,102706,13060400005,Unilab
PI000000000767,CALACTATE 650MG TAB 100'S,TAB,1,102736,13060400005,Unilab
PI000000000777,CALCIBLOC  5MG CAP,PCS,100,,13060400005,Unilab
PI000000000778,CALCIBLOC 10MG CAP,PCS,100,,13060400005,Unilab
PI000000000779,CALCIBLOC OD 30MG TAB,PCS,50,,13060400005,Unilab
PI000000000787,CALCIUMADE TAB,TAB,100,156263,13060400005,Unilab
PI0108201551,CALCIUMADE TAB 12'S,PCK,1,156262,13060400005,Unilab
PI2019000000342,CALCIUMADE TAB 8+2,PCK,1,168822,13060400005,Unilab
PI000000000808,CANDEZ  8MG TAB,TAB,30,152057,13060400005,Unilab
PI000000000808-S15,CANDEZ  8MG TAB  15'S,PCK,1,,13060400005,Unilab
PI000000000808-S30,CANDEZ  8MG TAB  30'S,PCK,1,,13060400005,Unilab
PI000000000809,CANDEZ 16MG TAB,TAB,30,152080,13060400005,Unilab
PI000000000809-S15,CANDEZ 16MG TAB  15'S,PCK,1,,13060400005,Unilab
PI000000000809-S30,CANDEZ 16MG TAB  30'S,PCK,1,,13060400005,Unilab
PI000000000810,CANDEZ PLUS 16MG/12.5MG TAB,TAB,30,152613,13060400005,Unilab
PI000000000810-S15,CANDEZ PLUS 16MG/12.5MG TAB  15'S,PCK,1,,13060400005,Unilab
PI000000000810-S30,CANDEZ PLUS 16MG/12.5MG TAB  30'S,PCK,1,,13060400005,Unilab
PI000000000840,CARBTRIM APPLE ICETEA MIX 5GM,PCS,6,,13060400005,Unilab
PI0108201383,CARBTRIM CAP,PCS,80,,13060400005,Unilab
PI000000000841,CARBTRIM LMN ICETEA MIX 5GM,PCS,6,,13060400005,Unilab
PI000000000845,CARDEPINE  2MG AMP 2ML,PCS,5,,13060400005,Unilab
PI000000000842,CARDEPINE 10MG AMP 10ML,PCS,5,141732,13060400005,Unilab
PI000000000843,CARDEPINE 10MG TAB,PCS,0,,13060400005,Unilab
PI000000000844,CARDEPINE 20MG TAB,PCS,0,,13060400005,Unilab
PI000000000846,CARDEPINE 40MG SR CAP,PCS,0,,13060400005,Unilab
PI000000000851,CARDIOSEL  50MG TAB,TAB,100,152096,13060400005,Unilab
PI000000000852,CARDIOSEL 100MG TAB,TAB,100,152376,13060400005,Unilab
PI000000000853,CARDIOSEL 47.5MG OD TAB,TAB,100,152099,13060400005,Unilab
PI000000000873,CARVID  6.25MG TAB,TAB,30,156243,13060400005,Unilab
PI000000000873-S15,CARVID  6.25MG TAB 15'S,PCK,1,,13060400005,Unilab
PI000000000873-S30,CARVID  6.25MG TAB 30'S,PCK,1,,13060400005,Unilab
PI000000000872,CARVID 25MG TAB,TAB,30,141716,13060400005,Unilab
PI000000000872-S15,CARVID 25MG TAB 15'S,PCK,1,,13060400005,Unilab
PI000000000872-S30,CARVID 25MG TAB 30'S,PCK,1,,13060400005,Unilab
PI0107201369,CARVID PLUS 25MG TAB,PCS,0,,13060400005,Unilab
PI0107201370,CARVID PLUS 50MG TAB,PCS,0,,13060400005,Unilab
PI000000000888,CEELIN 100MG SYR  60ML,PCS,1,151958,13060400005,Unilab
PI000000000890,CEELIN 100MG SYR 120ML,PCS,0,,13060400005,Unilab
PI000000000892,CEELIN 100MG SYR 250ML,PCS,1,,13060400005,Unilab
PI000000000894,CEELIN 100MG SYR 500ML,PCS,1,151924,13060400005,Unilab
PI000000000896,CEELIN CHEWABLE TAB 30'S,TAB,1,141690,13060400005,Unilab
PI000000000895,CEELIN CHEWABLE TAB 60'S,PCK,12,,13060400005,Unilab
PI000000000897,CEELIN DROP 15ML,PCS,1,,13060400005,Unilab
PI000000000898,CEELIN DROP 30ML,PCS,1,151920,13060400005,Unilab
PI01082013304,CEELIN DROP 30ML PRO,PCS,1,,13060400005,Unilab
PI000000005683,CEELIN PLUS  15ML,PCS,1,154964,13060400005,Unilab
PI000000005684,CEELIN PLUS  30ML,PCS,1,154965,13060400005,Unilab
PI2019000000391,CEELIN PLUS  30ML PROMO,PCS,1,,13060400005,Unilab
PI000000000901,CEELIN PLUS  60ML,PCS,1,,13060400005,Unilab
PI000000000902,CEELIN PLUS  60ML PRO,PCS,0,,13060400005,Unilab
PI000000000903,CEELIN PLUS 120ML,PCS,1,,13060400005,Unilab
PI000000000904,CEELIN PLUS 250ML,PCS,1,152365,13060400005,Unilab
PI000000000905,CEELIN PLUS 250ML PRO,PCS,0,152365,13060400005,Unilab
PI0103201602,CEELIN PLUS CHEWTAB,TAB,100,156328,13060400005,Unilab
PI2019000000207,CEELIN PLUS CHEWTAB 10'S,TAB,1,156327,13060400005,Unilab
PI0106201306,CEETAB 500MG TAB 100'S,PCK,12,155089,13060400005,Unilab
PI01122013062,CEETAB DAILY TAB,TAB,100,155615,13060400005,Unilab
PI20170000304,CEETAB DAILY TAB 18+2,PCK,1,,13060400005,Unilab
PI01122013062-P,CEETAB DAILY TAB 8+2,PCK,1,,13060400005,Unilab
PI2021000000357,CEETAB KIDS 120ML,PCS,1,170534,13060400005,Unilab
PI000000000930,CEFALIN  250MG CAP,CAP,50,140215,13060400005,Unilab
PI000000000931,CEFALIN  500MG CAP,CAP,50,140205,13060400005,Unilab
PI000000000932,CEFALIN 100MG DROP 10ML,PCS,0,,13060400005,Unilab
PI000000000933,CEFALIN 125MG SUSP 60ML,PCS,0,,13060400005,Unilab
PI000000000934,CEFALIN 250MG SUSP 30ML,PCS,0,,13060400005,Unilab
PI000000000935,CEFALIN 250MG SUSP 60ML,PCS,0,,13060400005,Unilab
PI0112201604,CEFIXIME 200MG TAB PHAREX,TAB,10,600155,13060400005,Unilab
PI000000000953,CEFUROXIME 500MG TAB PHAREX,TAB,50,600143,13060400005,Unilab
PI2019000000308,CEFUROXIME 750MG PDR INJ VIAL PHAREX,PCS,1,600139,13060400005,Unilab
PI20170000253,CELETEQUE ACNE BACK SPRY 50ML,PCS,1,,13060400005,Unilab
PI201900000090,CELETEQUE ACNE CLENS GEL 100ML,PCS,1,,13060400005,Unilab
PI0108201552,CELETEQUE ACNE CLENS GEL 50ML,PCS,1,800005,13060400005,Unilab
PI000000000986,CELETEQUE ACNE OIL C TONER 125ML,PCS,0,4807788518958,13060400005,Unilab
PI20170000254,CELETEQUE ACNE SOL FM GEL 50ML,PCS,1,,13060400005,Unilab
PI2019000000374,CELETEQUE ACNE SOL PORE MIN SER 20ML,PCS,1,800007,13060400005,Unilab
PI0108201513,CELETEQUE ACNE SOL SPOT 5ML,PCS,1,,13060400005,Unilab
PI000000000988,CELETEQUE ACNE SOL TONER  65ML,PCS,1,800057-4807788518880,13060400005,Unilab
PI201900000075,CELETEQUE ACNE-CLRNG CNCLR 250MG CRM,PCS,1,800180,13060400005,Unilab
PI20170000284,CELETEQUE ADV ANTI-AGING ALC-F TNR FM 125ML,PCS,1,157024-800014,13060400005,Unilab
PI000000000971,CELETEQUE ADV ANTI-WRINKLE FM,PCS,0,,13060400005,Unilab
PI000000000972,CELETEQUE ADV BREAKOFF CAP,CAP,0,,13060400005,Unilab
PI000000000973,CELETEQUE ADV CLNSNG OIL  50ML,PCS,0,,13060400005,Unilab
PI000000000974,CELETEQUE ADV CLNSNG OIL 100ML,PCS,0,,13060400005,Unilab
PI0108201514,CELETEQUE ADV COLAGEN 40ML,PCS,1,,13060400005,Unilab
PI000000000975,CELETEQUE ALC FREE TONER 65ML,PCS,1,800068-4807788518873,13060400005,Unilab
PI000000005967,CELETEQUE B BODY CRM 200ML,PCS,0,,13060400005,Unilab
PI0111201503,CELETEQUE BRIGHT DARK SPOT 15ML CRM,PCS,0,,13060400005,Unilab
PI0108201515,CELETEQUE BRIGHT EYE CRM 15ML,PCS,1,,13060400005,Unilab
PI20170000285,CELETEQUE BRIGHTENING ALC-FREE TNR 125ML,PCS,1,157025-4807788570253-800021,13060400005,Unilab
PI20170000255,CELETEQUE BRIGHTENING FW 75ML,PCS,1,154556-4807788545565-800017,13060400005,Unilab
PI2021000000404,CELETEQUE BRIGHTENING MICELLAR MILK 250ML,PCS,1,800754,13060400005,Unilab
PI000000000981,CELETEQUE FW EXFO  60ML,PCS,1,800060-151894,13060400005,Unilab
PI20170000256,CELETEQUE H&S CARE CLAR SHMP 250ML,PCS,1,155609-4807788556097-800166,13060400005,Unilab
PI000000000977,CELETEQUE HYDR FM LIQ  50ML,PCS,1,151899-800062,13060400005,Unilab
PI000000000978,CELETEQUE HYDR FM LIQ 100ML,PCS,1,151903-800061,13060400005,Unilab
PI000000000979,CELETEQUE HYDR FM LIQ 200ML,PCS,0,,13060400005,Unilab
PI000000000976,CELETEQUE HYDR FW EXFO 100ML,PCS,24,151886-800059,13060400005,Unilab
PI000000000982,CELETEQUE HYDR FW LIQ  10ML,PCS,0,,13060400005,Unilab
PI000000000983,CELETEQUE HYDR FW LIQ  60ML,PCS,36,151904-800066,13060400005,Unilab
PI000000000984,CELETEQUE HYDR FW LIQ 100ML,PCS,24,,13060400005,Unilab
PI000000000985,CELETEQUE HYDR FW LIQ 250ML,PCS,12,151902,13060400005,Unilab
PI20170000257,CELETEQUE HYDR H.MOIST MIST 50ML,PCS,1,157399,13060400005,Unilab
PI201900000076,CELETEQUE HYDR MMIST LIQ SPRY 50ML,PCS,1,800023,13060400005,Unilab
PI000000000989,CELETEQUE HYDR TONER 125ML,PCS,1,800067-4807788518965,13060400005,Unilab
PI000000000990,CELETEQUE HYDR TONER 250ML,PCS,0,,13060400005,Unilab
PI2019000000291,CELETEQUE HYDR WIPES 12 SHEETS,PCS,1,800024,13060400005,Unilab
PI2019000000241,CELETEQUE HYDR WIPES 20SHEETS,PCS,6,800024,13060400005,Unilab
PI202100000092,CELETEQUE HYDRATION MICELLAR WATER 250ML,PCS,1,800753,13060400005,Unilab
PI2019000000375,CELETEQUE LINE-RDCNG EYE MASK 4ML,PCS,1,800012,13060400005,Unilab
PI2019000000366,CELETEQUE LIQ FND HONEY 24-HR 35ML,PCS,1,,13060400005,Unilab
PI000000000987,CELETEQUE OIL CONTROL TONER 250ML,PCS,0,,13060400005,Unilab
PI2019000000376,CELETEQUE REJUV FACIAL MASK 20ML,PCS,1,800013,13060400005,Unilab
PI0108201516,CELETEQUE REST WRNKL  CRM 15ML,PCS,1,,13060400005,Unilab
PI20170000182,CELETEQUE SC SPF15 FM 50ML,PCS,1,800069,13060400005,Unilab
PI20170000178,CELETEQUE SC SPF30 MATTE MOIST 50ML,PCS,1,800030-4807788545077,13060400005,Unilab
PI2021000000104,CELETEQUE SUN CARE F&B CRM 120ML,PCS,1,800029,13060400005,Unilab
PI2019000000365,CELETEQUE SUN CARE SPR 100ML,PCS,1,,13060400005,Unilab
PI000000001092,CHOLINERV   500MG TAB,TAB,30,141205,13060400005,Unilab
PI0104201601,CHOLINERV  1G TAB,TAB,30,156703,13060400005,Unilab
PI000000001089,CHOLINERV 100MG DRP 15ML,PCS,1,151982,13060400005,Unilab
PI000000001090,CHOLINERV 125MG/ML AMP 4ML,PCS,6,152247,13060400005,Unilab
PI000000001091,CHOLINERV 250MG/ML AMP 4ML,PCS,5,152127,13060400005,Unilab
PI0106201600,CITAGEM 1G PDR VL,PCS,0,,13060400005,Unilab
PI0106201601,CITAGEM 200MG PDR VL,PCS,0,,13060400005,Unilab
PI01012014001,CLEARASCAR GEL  6GM,PCS,0,,13060400005,Unilab
PI01012014002,CLEARASCAR GEL 15GM,PCS,0,,13060400005,Unilab
PI000000001217,CLINDAMYCIN 300MG CAP PHAREX,CAP,300,600125,13060400005,Unilab
PI202000000057,CLOBENATE 500MCG CRM 15GM,PCS,1,157483,13060400005,Unilab
PI202000000056,CLOBENATE 500MCG/G CRM 5GM,PCS,1,157482,13060400005,Unilab
PI000000001232,CLONIPRES  75MCG TAB,TAB,100,155358,13060400005,Unilab
PI000000001232-S15,CLONIPRES  75MCG TAB 15'S,PCK,1,,13060400005,Unilab
PI000000001232-S30,CLONIPRES  75MCG TAB 30'S,PCK,1,,13060400005,Unilab
PI000000001233,CLONIPRES 150MCG TAB,TAB,100,155362,13060400005,Unilab
PI000000001233-S15,CLONIPRES 150MCG TAB 15'S,PCK,1,,13060400005,Unilab
PI000000001233-S30,CLONIPRES 150MCG TAB 30'S,PCK,1,,13060400005,Unilab
PI2018000000141,CLOPIDOGREL 75MG FC TAB PHAREX,TAB,30,600156,13060400005,Unilab
PI202100000098,COMBIFLEX LILID PERL 1920ML SOL,PCK,2,166006,13060400005,Unilab
PI000000001337,COMBIZAR  50MG/12.5MG TAB,TAB,50,157672,13060400005,Unilab
